D:\Marta\Mustang\Aorta March 2023\20230303_EXPL4_MaMu_SA_M770_Ao_KO_1.raw	D:\Marta\Mustang\Aorta March 2023\20230303_EXPL4_MaMu_SA_M770_Ao_KO_2.raw	D:\Marta\Mustang\Aorta March 2023\20230303_EXPL4_MaMu_SA_M770_Ao_KO_3.raw	D:\Marta\Mustang\Aorta March 2023\20230303_EXPL4_MaMu_SA_M770_Ao_KO_4.raw	D:\Marta\Mustang\Aorta March 2023\20230303_EXPL4_MaMu_SA_M770_Ao_WT_1.raw	D:\Marta\Mustang\Aorta March 2023\20230303_EXPL4_MaMu_SA_M770_Ao_WT_2.raw	D:\Marta\Mustang\Aorta March 2023\20230303_EXPL4_MaMu_SA_M770_Ao_WT_3.raw	D:\Marta\Mustang\Aorta March 2023\20230303_EXPL4_MaMu_SA_M770_Ao_WT_4.raw	Student's T-test Significant KO_WT	Student's T-test significant	-Log Student's T-test p-value KO_WT	Student's T-test q-value KO_WT	Student's T-test Difference KO_WT	Student's T-test Test statistic KO_WT	Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description
#!{Type}E	E	E	E	E	E	E	E	C	C	N	N	N	N	T	T	T	T	T
#!{C:Genotype}KO	KO	KO	KO	WT	WT	WT	WT											
18.4239654541016	NaN	NaN	NaN	18.2983264923096	NaN	18.3757228851318	18.4735946655273			0	1	0.0414174397786446	0	A0A075B5L0	P01643;P01644;P01645;P01647;A0A075B5L0	A0A075B5L0_MOUSE	Igkv10-95	Isoform of A0A0G2JFY3, Protein Igkv10-95
21.8759765625	22.1133289337158	23.8902359008789	19.832311630249	21.2677726745605	22.255443572998	23.1215076446533	18.3021030426025			0.204891477737518	1	0.691256523132324	0.480711399343379	A0A075B5M7;A0A0G2JDV4	A0A0B4J1J1;A0A0B4J1J2;A0A0G2JDV4;A0A075B5M7	A0A075B5M7_MOUSE;A0A0G2JDV4_MOUSE	Igkv5-39	Isoform of A0A0G2JDV4, Protein Igkv5-39
21.7409992218018	20.9761238098145	21.4606094360352	21.7591228485107	21.5996284484863	20.7605419158936	22.0670471191406	21.0008792877197			0.138690015680685	1	0.127189636230469	0.284468904528089	A0A075B5N4;A0A0G2JF28	A0A0G2JE47;A0A0G2JF28;A0A075B5N3;A0A075B5N4	A0A075B5N4_MOUSE;A0A0G2JF28_MOUSE	Igkv8-27	Isoform of A0A0G2JF28, Protein Igkv8-27
20.8113441467285	19.8816032409668	20.8117523193359	20.272575378418	20.2048816680908	20.3026580810547	21.3219051361084	20.0169525146484			0.0157936682872314	1	-0.0172805786132813	-0.0367490314973564	A0A075B5P2	P01837;A0A075B5P2	A0A075B5P2_MOUSE	Igkc	Isoform of P01837, Protein Igkc (Fragment)
23.9876575469971	23.0364933013916	24.7583160400391	22.748197555542	23.3295764923096	23.1980781555176	24.3849086761475	22.7397766113281			0.144970302413247	1	0.219581127166748	0.324807178233353	A0A075B5P3	F6TQW2;P01863;P01864;P01865;A0A075B5P3;A0A0A6YY53	A0A075B5P3_MOUSE	Ighg2b	Isoform of P01867, Protein Ighg2b (Fragment)
19.135498046875	19.1797943115234	19.5442848205566	NaN	19.5909404754639	19.2260704040527	20.1546459197998	NaN			0.54733984873138	1	-0.370693206787109	-0.927792925157555	A0A075B5P4;A0A0A6YWR2	A0A075B5P4;A0A0A6YWR2	A0A075B5P4_MOUSE;A0A0A6YWR2_MOUSE	Ighg1	Isoform of P01869, Ig gamma-1 chain C region secreted form (Fragment)
22.1781349182129	21.4427337646484	21.3725414276123	22.5686149597168	21.76926612854	21.1394309997559	21.6973114013672	22.4151496887207			0.130214781733278	1	0.13521671295166	0.275687947270279	A0A075B5P5	A0A075B5P5;P03987;P03987-2	A0A075B5P5_MOUSE	Ighg3	Protein Ighg3 (Fragment)
NaN	NaN	NaN	NaN	NaN	NaN	17.2102909088135	NaN			0	0.993536140350877	NaN	0	A0A075B5P8;A0A075B5Q1	A0A075B5P8;P01821;A0A075B5Q1	A0A075B5P8_MOUSE;A0A075B5Q1_MOUSE	Ighv2-2;Ighv2-4	Protein Ighv2-2 (Fragment)
NaN	18.3491249084473	NaN	NaN	NaN	NaN	19.7276439666748	NaN			0	0.992548895899054	-1.37851905822754	0	A0A075B5Q2	A0A075B5Q2	A0A075B5Q2_MOUSE	Ighv5-9	Protein Ighv5-9 (Fragment)
NaN	NaN	16.0769424438477	NaN	16.7238616943359	NaN	16.9647026062012	NaN			0	0.992376379884353	-0.767339706420898	0	A0A075B5Q3;A0A0A6YY69	A0A0A6YY69;A0A075B5Q3	A0A075B5Q3_MOUSE;A0A0A6YY69_MOUSE	Ighv2-5	Isoform of A0A0A6YY69, Protein Ighv2-5
17.9516143798828	16.9484577178955	17.6039600372314	19.3370800018311	18.2046813964844	18.1148147583008	18.5985679626465	18.894702911377			0.405966982569755	1	-0.492913722991943	-0.775859250526391	A0A075B5R2;A0A075B5R3;A0A0A6YX91	A0A075B5R2;A0A0A6YX91;P01786;A0A075B5R3	A0A075B5R2_MOUSE;A0A075B5R3_MOUSE;A0A0A6YX91_MOUSE	Ighv7-2;Ighv7-3	Protein Ighv7-3 (Fragment)
20.8727054595947	19.3791675567627	19.8777961730957	19.3814754486084	19.7036476135254	17.4457263946533	19.8067092895508	18.9593391418457			0.667561114353383	1	0.898930549621582	1.20100555566053	A0A075B5R4	A0A075B5R4;A0A075B5R9	A0A075B5R4_MOUSE	Ighv14-1	Protein Ighv14-1 (Fragment)
21.0387802124023	20.2824726104736	NaN	21.8567180633545	21.0823230743408	19.6459560394287	20.0139980316162	21.2460041046143			0.405817300873282	1	0.562253316243488	0.801526758881135	A0A075B5R5	A0A075B5R5;P01806;P01807;P01808;P01810;P01812	A0A075B5R5_MOUSE	Ighv4-1	Protein Ighv4-1 (Fragment)
18.1642990112305	17.9791011810303	18.7588291168213	19.2819938659668	18.8623809814453	17.2216053009033	18.6455497741699	18.784839630127			0.128771806121105	1	0.16746187210083	0.284580243257162	A0A075B5T2	A0A075B5T2	A0A075B5T2_MOUSE	Ighv6-3	Protein Ighv6-3 (Fragment)
NaN	NaN	NaN	19.5343227386475	NaN	NaN	18.753490447998	18.9484386444092			0	0.989406462882096	0.683358192443848	0	A0A075B5T3	A0A075B5T3;P01796;P01797;P01799;P01800;P01801;P01802;P01803;P01804	A0A075B5T3_MOUSE	Ighv6-6	Protein Ighv6-6 (Fragment)
19.6186580657959	18.8229465484619	19.445125579834	NaN	19.7001876831055	NaN	19.1556949615479	NaN			0.127511878629926	1	-0.132364590962727	-0.280393656120219	A0A075B5V8;A0A0A6YY41	A0A0A6YY41;A0A075B5V8	A0A075B5V8_MOUSE;A0A0A6YY41_MOUSE	Ighv1-47	Isoform of A0A0A6YY41, Protein Ighv1-47
18.5088386535645	19.0808391571045	18.6230850219727	19.0985279083252	18.6269645690918	17.9180488586426	19.3633232116699	18.5848922729492			0.250881632857981	1	0.20451545715332	0.472759353097572	A0A075B5W1;A0A075B5X7;A0A0G2JFS5	A0A075B5W1;A0A0G2JFS5;A0A075B5X7	A0A075B5W1_MOUSE;A0A075B5X7_MOUSE;A0A0G2JFS5_MOUSE	Ighv1-50;Ighv1-69	Protein Ighv1-50 (Fragment)
NaN	NaN	20.2021808624268	19.469898223877	19.6554565429688	19.2941627502441	20.6235218048096	19.3010711669922			0.0796074024881906	1	0.117486476898193	0.189310918616505	A0A075B5W6	A0A075B5W6	A0A075B5W6_MOUSE	Ighv1-55	Protein Ighv1-55 (Fragment)
