ENSEMBL	ENTREZID	SYMBOL	GENENAME	H1	H2	H3	W1	W2	W3
ENSMUSG00000000001	14679	Gnai3	guanine nucleotide binding protein (G protein), alpha inhibiting 3	977.133431933562	775.764725301777	1006.77378534512	887.82774498138	854.690727485198	874.347864010807
ENSMUSG00000000028	12544	Cdc45	cell division cycle 45	128.301059568822	161.617651104537	124.144738845261	154.505088087669	119.632035448866	107.970317347582
ENSMUSG00000000031	14955	H19	H19, imprinted maternally expressed transcript	145523.152521379	159207.608691266	156054.742331287	170055.909901388	166838.589972998	156474.394617198
ENSMUSG00000000037	107815	Scml2	Scm polycomb group protein like 2	19.524074282212	12.9294120883629	24.0280139700506	11.5302304543036	9.86655962464875	15.5251436708941
ENSMUSG00000000049	11818	Apoh	apolipoprotein H	17.664638636287	3.87882362650888	9.61120558802023	20.7544148177465	13.566519483892	6.35119513809303
ENSMUSG00000000056	67608	Narf	nuclear prelamin A recognition factor	5073.47015990623	4910.59071116025	4626.99455683274	5660.19013001765	5568.43958816114	5055.55132992205
ENSMUSG00000000058	12390	Cav2	caveolin 2	2038.87118575671	1640.74239401326	2240.21183580772	2212.65122418087	2390.17406907116	2131.17881300455
ENSMUSG00000000078	23849	Klf6	Kruppel-like factor 6	1916.14843312566	1402.84121158738	2152.10911791753	1603.85505619364	1769.81413267137	2352.05926614045
ENSMUSG00000000085	29871	Scmh1	sex comb on midleg homolog 1	1428.97629389333	1468.78121323803	1536.99196028424	1415.91229978849	1415.8513061371	1593.44429131267
ENSMUSG00000000088	12858	Cox5a	cytochrome c oxidase subunit 5A	17477.7653538716	17771.4769154549	14685.1212046959	17618.192134176	18941.3278394194	16389.6118980234
ENSMUSG00000000093	21385	Tbx2	T-box 2	174.786950716945	227.557652755188	195.427846956411	115.302304543036	238.030750944651	160.896943498357
ENSMUSG00000000094	21387	Tbx4	T-box 4	213.835099281369	256.002359349586	246.687610092519	247.899954767528	251.597270428543	227.937336622672
ENSMUSG00000000120	18053	Ngfr	nerve growth factor receptor (TNFR superfamily, member 16)	92.0420644732851	32.3235302209074	66.4775053171399	36.8967374537716	22.1997591554597	32.4616640391422
ENSMUSG00000000125	22415	Wnt3	wingless-type MMTV integration site family, member 3	0.929717822962476	0	0	5.76511522715182	11.0998795777298	1.41137669735401
ENSMUSG00000000126	216795	Wnt9a	wingless-type MMTV integration site family, member 9A	527.150005619724	640.005898373966	498.180822979049	434.689688127247	663.526134757629	539.851586737908
ENSMUSG00000000127	14158	Fer	fer (fms/fps related) protein kinase	585.72222846636	543.035307711244	615.918091432296	638.774767168421	647.492975367575	537.734521691877
ENSMUSG00000000131	74204	Xpo6	exportin 6	1708.82135860503	1426.11415334643	1346.36971612183	1675.34248501032	1528.08342186748	1545.45748360264
ENSMUSG00000000134	209446	Tfe3	transcription factor E3	438.826812438289	514.590601116845	476.555610406003	432.383642036386	387.262465267464	467.165686824176
ENSMUSG00000000142	12006	Axin2	axin 2	714.023288035181	868.85649233799	959.51869120402	816.340316164697	833.72428828282	851.765836853143
ENSMUSG00000000148	231841	Brat1	BRCA1-associated ATM activator 1	368.16825789314	444.771775839685	298.748307027629	404.711088946058	305.863348364111	435.409711133711
ENSMUSG00000000149	14673	Gna12	guanine nucleotide binding protein, alpha 12	1710.68079425096	2185.07064293334	1912.62991201603	1658.04713932886	1856.14652938705	1803.73941921842
ENSMUSG00000000154	18400	Slc22a18	solute carrier family 22 (organic cation transporter), member 18	17.664638636287	16.8082357148718	19.2224111760405	12.683253499734	11.0998795777298	8.46826018412404
ENSMUSG00000000167	72614	Pih1d2	PIH1 domain containing 2	13.9457673444371	5.17176483534518	9.61120558802023	14.9892995905947	16.0331593900542	11.2910135788321
ENSMUSG00000000168	235339	Dlat	dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)	12316.9017186069	12497.5697246116	12298.3384836709	13036.0785516357	13308.7556136981	12033.3977216403
ENSMUSG00000000171	66925	Sdhd	succinate dehydrogenase complex, subunit D, integral membrane protein	10741.9597265084	10152.1743717826	9789.81382519761	11312.3090987173	11044.3801798412	10650.954246582
ENSMUSG00000000182	64654	Fgf23	fibroblast growth factor 23	1.85943564592495	6.46470604418147	0	0	2.46663990616219	2.11706504603101
ENSMUSG00000000183	14177	Fgf6	fibroblast growth factor 6	354.222490548703	474.50942364292	521.407903150097	411.62922721864	506.89450071633	351.432797641148
ENSMUSG00000000184	12444	Ccnd2	cyclin D2	1027.33819437354	1016.25179014533	1138.9278621804	786.361716983508	920.056684998496	767.78892336058
ENSMUSG00000000194	277463	Gpr107	G protein-coupled receptor 107	1709.75107642799	1797.18828028245	1859.76828128191	1734.14666032727	1833.94677023159	1887.01064436231
ENSMUSG00000000197	338370	Nalcn	sodium leak channel, non-selective	19.524074282212	7.75764725301777	28.032682965059	11.5302304543036	13.566519483892	16.9365203682481
ENSMUSG00000000202	72014	Btbd17	BTB (POZ) domain containing 17	6.50802476073733	2.58588241767259	7.20840419101517	8.07116131801254	6.16659976540547	3.52844174338502
ENSMUSG00000000204	20558	Slfn4	schlafen 4	9.29717822962476	5.17176483534518	140.163414825295	4.61209218172145	13.566519483892	14.8194553222171
ENSMUSG00000000214	21823	Th	tyrosine hydroxylase	0.929717822962476	2.58588241767259	5.6065365930118	0	2.46663990616219	4.23413009206202
ENSMUSG00000000223	13497	Drp2	dystrophin related protein 2	1146.34207571273	707.238841233453	740.062830277558	826.717523573571	689.425853772332	649.233280782843
ENSMUSG00000000244	27027	Tspan32	tetraspanin 32	18.5943564592495	3.87882362650888	12.0140069850253	11.5302304543036	1.23331995308109	5.64550678941603
ENSMUSG00000000247	16870	Lhx2	LIM homeobox protein 2	8.36746040666228	18.1011769237081	21.6252125730455	1.15302304543036	17.2664793431353	3.52844174338502
ENSMUSG00000000253	66355	Gmpr	guanosine monophosphate reductase	4358.51715404809	4772.24600181476	4153.64268162274	5524.13341065687	4426.38531160805	5466.96763720075
ENSMUSG00000000266	23947	Mid2	midline 2	629.418966145596	548.207072546589	551.04245371316	562.675246170017	598.160177244331	560.316548849541
ENSMUSG00000000275	217069	Trim25	tripartite motif-containing 25	795.838456455879	818.431785193374	765.692711845612	894.745883253962	986.655962464875	704.982660328326
ENSMUSG00000000276	56077	Dgke	diacylglycerol kinase, epsilon	676.834575116682	597.338838482368	455.731331631959	677.977550713054	663.526134757629	575.136004171758
ENSMUSG00000000278	74617	Scpep1	serine carboxypeptidase 1	440.686248084214	528.812954414044	535.023777733126	321.693429675071	416.86214414141	405.0651121406
ENSMUSG00000000282	17428	Mnt	max binding protein	380.254589591653	390.468245068561	281.127763449592	372.426443674007	340.396307050382	502.450104258026
ENSMUSG00000000290	16414	Itgb2	integrin beta 2	83.6746040666228	103.435296706904	115.334467056243	27.6725530903287	46.8661582170816	21.8763388089871
ENSMUSG00000000295	69692	Hddc2	HD domain containing 2	273.337039950968	199.112946160789	239.479205901504	284.7966922213	198.564512446056	220.880453135902
ENSMUSG00000000296	21987	Tpd52l1	tumor protein D52-like 1	1226.29780848751	1055.04002641042	1066.04288647124	1249.87698124651	1058.18851974358	1143.92081320542
ENSMUSG00000000301	18618	Pemt	phosphatidylethanolamine N-methyltransferase	27.8915346888743	34.90941263858	17.6205435780371	24.2134839540376	28.3663589208652	33.8730407364962
ENSMUSG00000000303	12550	Cdh1	cadherin 1	14.8754851673996	9.05058846185406	4.00466899500843	8.07116131801254	14.7998394369731	16.9365203682481
ENSMUSG00000000305	12561	Cdh4	cadherin 4	15.8052029903621	9.05058846185406	21.6252125730455	24.2134839540376	17.2664793431353	16.9365203682481
ENSMUSG00000000308	12716	Ckmt1	creatine kinase, mitochondrial 1, ubiquitous	5.57830693777485	0	1.60186759800337	5.76511522715182	3.69995985924328	1.41137669735401
ENSMUSG00000000317	12029	Bcl6b	B cell CLL/lymphoma 6, member B	423.021609447926	488.731776940119	701.618007925477	525.778508716246	456.328382640005	325.322328740099
ENSMUSG00000000318	17312	Clec10a	C-type lectin domain family 10, member A	59.5019406695985	72.4047076948325	36.0420209550759	27.6725530903287	17.2664793431353	10.5853252301551
ENSMUSG00000000320	11684	Alox12	arachidonate 12-lipoxygenase	480.6641144716	345.215302759291	358.017408153754	430.077595945526	318.196547894922	262.516065707845
ENSMUSG00000000326	12846	Comt	catechol-O-methyltransferase	1371.33378886965	1720.90474896111	1314.33236416177	1381.32160842558	1500.95038289969	1515.11288460953
